Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20220824105790,Accident,WPR22LA314,2022-08-21,"Wilder, ID",United States,50S,PARMA,Minor,Substantial,N4133S,BEECH,F33A,No,1,,Personal,0.0,2.0,0.0,0.0,Vmc,,,31-08-2022,2.0,False,BEECH F33A
20220826105802,Accident,GAA22WA260,2022-08-21,"Malloca, ",Spain,,Palma de Mallorca Airport,Non-Fatal,Substantial,EC-ETC,CESSNA,172,No,,,,0.0,0.0,0.0,2.0,,,,27-08-2022,2.0,False,CESSNA 172
20220829105816,Accident,CEN22LA400,2022-08-21,"San Isidro, TX",United States,,,Serious,Substantial,N4447A,ROBINSON HELICOPTER COMPANY,R44 II,No,1,,Personal,0.0,0.0,1.0,0.0,Vmc,,"The pilot’s improper decision to conduct an autorotation with a tailwind, which resulted in a hard landing and substantial damage.",23-09-2022,1.0,False,ROBINSON HELICOPTER COMPANY R44 II
20220831105835,Accident,WPR22LA325,2022-08-22,"Hope, AK",United States,,Big Indian,Non-Fatal,Substantial,N96095,TAYLORCRAFT,BC12-D1,No,1,Reciprocating,Personal,0.0,0.0,0.0,2.0,Vmc,,The pilot’s failure to maintain clearance from a tree while taxiing.,15-12-2022,2.0,False,TAYLORCRAFT BC12-D1
20220823105786,Accident,WPR22LA313,2022-08-23,"St Ignatius, MT",United States,52S,ST IGNATIUS,Minor,Substantial,N4009Y,PIPER,PA-30,No,2,,Personal,0.0,1.0,0.0,1.0,Vmc,,,08-09-2022,2.0,False,PIPER PA-30
20220823105787,Accident,ERA22FA383,2022-08-23,"Whiteside, TN",United States,,,Fatal,Substantial,N770HP,BELL,206B,No,1,,Aerial Observation,2.0,0.0,0.0,0.0,Vmc,,,09-09-2022,2.0,False,BELL 206B
20220831105834,Accident,WPR22LA324,2022-08-23,"Athol, ID",United States,ID05,HACKNEY AIRPARK,Non-Fatal,Substantial,N9512S,CHAMPION,7GCBA,No,1,,Personal,0.0,0.0,0.0,2.0,,,,09-09-2022,2.0,False,CHAMPION 7GCBA
20220831105837,Accident,WPR22LA326,2022-08-23,"Egegik, AK",United States,PAII,Egegik Airport,Non-Fatal,Substantial,N6455X,CESSNA,180,No,1,Reciprocating,Other Work Use,0.0,0.0,0.0,4.0,Vmc,,The pilot's failure to maintain directional control during takeoff from a lake.,15-12-2022,4.0,False,CESSNA 180
20220824105794,Accident,WPR22LA316,2022-08-24,"Vacaville, CA",United States,VCB,Nut Tree Airport,Minor,Substantial,N22507,CESSNA,150H,No,1,,Personal,0.0,2.0,0.0,0.0,Vmc,,,09-09-2022,2.0,False,CESSNA 150H
20220825105796,Accident,CEN22LA393,2022-08-24,"Harvard, IL",United States,0C0,Dacy Airport,Non-Fatal,Substantial,N66417,Boeing (Stearman),B75N1,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,,"The pilot’s failure to maintain directional control during take-off, which resulted in a collision with crop and terrain.",23-09-2022,1.0,False,Boeing (Stearman) B75N1
20220825105798,Accident,CEN22LA394,2022-08-24,"Liberty, MO",United States,0N0,Roosterville,Minor,Substantial,N1815J,PIPER,PA28,No,1,Reciprocating,Instructional,0.0,2.0,0.0,0.0,Vmc,,The flight instructor’s improper decision to take off without adequate airspeed which resulted in degraded performance and a collision with trees.,03-11-2022,2.0,False,PIPER PA28
20220909105891,Accident,CEN22LA411,2022-08-24,"Atoka, OK",United States,KAQR,Atoka,Non-Fatal,Substantial,N2317G,CESSNA,T210L,No,1,Reciprocating,Personal,0.0,0.0,0.0,2.0,Vmc,,"The pilot's failure to land the airplane within the desired touchdown zone, which resulted in a long landing and collision with a fence.",03-11-2022,2.0,False,CESSNA T210L
20220826105803,Accident,ERA22LA385,2022-08-25,"Kissimmee, FL",United States,ISM,KISSIMMEE GATEWAY,Non-Fatal,Substantial,N9968F,CESSNA,172R,No,1,,Personal,0.0,0.0,0.0,2.0,Vmc,,,05-10-2022,2.0,False,CESSNA 172R
20220906105862,Accident,CEN22LA408,2022-08-25,"Murray, NE",United States,NE82,Nolte Farms Airport,Non-Fatal,Substantial,N5951B,AIR TRACTOR INC,AT-602,No,1,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,Vmc,,"The pilot’s failure to maintain airplane control during landing resulting in an impact with crop and a subsequent ground-loop. Contributing was the wet turf airstrip. 
",01-11-2022,1.0,False,AIR TRACTOR INC AT-602
20220914105934,Accident,ERA22LA415,2022-08-25,"Georgetown, DE",United States,GED,Delaware Coastal,Non-Fatal,Substantial,N5132C,CESSNA,T210N,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,,"The pilot's failure to extend the landing gear before landing. Contributing to the accident was an inoperative landing gear warning horn.",01-11-2022,1.0,False,CESSNA T210N
20220826105805,Accident,WPR22LA317,2022-08-26,"Boulder City, NV",United States,BVU,Boulder City Municipal Airport,Serious,Substantial,N916CA,FLIGHT DESIGN GENERAL AVN GMBH,CTSW SuperSport,No,1,,Personal,0.0,1.0,1.0,0.0,Vmc,,,26-09-2022,2.0,False,FLIGHT DESIGN GENERAL AVN GMBH CTSW SuperSport
20220829105823,Accident,WPR22LA320,2022-08-26,"Ione, CA",United States,PRIV,PRIV,Minor,Substantial,N49430,CESSNA,152,No,1,,Instructional,0.0,1.0,0.0,1.0,Vmc,,,14-09-2022,2.0,False,CESSNA 152
20220829105825,Accident,WPR22LA322,2022-08-26,"Caldwell, ID",United States,EUL,,Minor,Substantial,N52367,RAY E ROBERTS,KITFOX V VIXEN,No,1,,Personal,0.0,1.0,0.0,0.0,,,,23-09-2022,1.0,False,RAY E ROBERTS KITFOX V VIXEN
20220830105829,Accident,GAA22WA263,2022-08-26,"Shobdon, ",United Kingdom,,,Fatal,Destroyed,G-BOXV,PITTS,S1S,No,,,,1.0,0.0,0.0,0.0,,,,05-09-2022,1.0,True,PITTS S1S
20220831105841,Accident,WPR22LA329,2022-08-26,"Deadhorse, AK",United States,,,Non-Fatal,Substantial,N240RM,ROBINSON HELICOPTER,R44 Clipper 1,No,1,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,Vmc,,"The pilot's failure to maintain helicopter control during a descent, which resulted in a collision with terrain.",08-12-2022,3.0,False,ROBINSON HELICOPTER R44 Clipper 1
20220829105808,Accident,CEN22LA395,2022-08-27,"Prue, OK",United States,,,Serious,Substantial,N132JD,BOEING,A75N1(PT17),No,1,Reciprocating,Personal,0.0,1.0,1.0,0.0,Vmc,,"The pilot’s failure to maintain clearance from power lines during intentional low-level maneuvering. ",01-11-2022,2.0,False,BOEING A75N1(PT17)
20220829105809,Accident,ERA22LA388,2022-08-27,"Mayville, NY",United States,D79,,Minor,Substantial,N107AS,SCHLEICHER,K7,No,,,Instructional,0.0,2.0,0.0,0.0,,,,31-08-2022,2.0,False,SCHLEICHER K7
